ID,TotPrimReads,MapPrimReads
../bwa_denovo/PM_HP_10.sorted.bam,3589709,3496020
../bwa_denovo/PM_HP_11.sorted.bam,3029410,2981231
../bwa_denovo/PM_HP_12.sorted.bam,3741007,3676482
../bwa_denovo/PM_HP_13.sorted.bam,5760338,5656082
../bwa_denovo/PM_HP_14.sorted.bam,4518305,4440268
../bwa_denovo/PM_HP_15.sorted.bam,3740154,3658929
../bwa_denovo/PM_HP_1.sorted.bam,5486871,5329325
../bwa_denovo/PM_HP_2.sorted.bam,4595610,4447098
../bwa_denovo/PM_HP_3.sorted.bam,8243341,8067709
../bwa_denovo/PM_HP_4.sorted.bam,6225215,6075316
../bwa_denovo/PM_HP_5.sorted.bam,5834864,5684729
../bwa_denovo/PM_HP_6.sorted.bam,2092984,2015336
../bwa_denovo/PM_HP_7.sorted.bam,3957407,3861433
../bwa_denovo/PM_HP_8.sorted.bam,5058052,4950210
../bwa_denovo/PM_HP_9.sorted.bam,3865949,3776609
../bwa_denovo/PM_JA_10.sorted.bam,1543824,1476729
../bwa_denovo/PM_JA_11.sorted.bam,902574,870338
../bwa_denovo/PM_JA_12.sorted.bam,2869643,2782386
../bwa_denovo/PM_JA_14.sorted.bam,1757581,1694420
../bwa_denovo/PM_JA_15.sorted.bam,2716596,2647676
../bwa_denovo/PM_JA_1.sorted.bam,1303911,1226595
../bwa_denovo/PM_JA_2.sorted.bam,1490831,1435031
../bwa_denovo/PM_JA_3.sorted.bam,767466,731901
../bwa_denovo/PM_JA_4.sorted.bam,3648332,3535093
../bwa_denovo/PM_JA_5.sorted.bam,5884814,5759805
../bwa_denovo/PM_JA_6.sorted.bam,4519025,4383295
../bwa_denovo/PM_JA_7.sorted.bam,11639917,11199648
../bwa_denovo/PM_JA_8.sorted.bam,15794196,15593706
../bwa_denovo/PM_JA_9.sorted.bam,4128647,4018057
../bwa_denovo/PM_LB_10.sorted.bam,2724806,2650276
../bwa_denovo/PM_LB_11.sorted.bam,2799105,2734100
../bwa_denovo/PM_LB_12.sorted.bam,1228991,1196839
../bwa_denovo/PM_LB_13.sorted.bam,1675669,1623110
../bwa_denovo/PM_LB_14.sorted.bam,4540745,4402026
../bwa_denovo/PM_LB_15.sorted.bam,1489412,1461107
../bwa_denovo/PM_LB_16.sorted.bam,2528286,2460460
../bwa_denovo/PM_LB_17.sorted.bam,9385625,9241630
../bwa_denovo/PM_LB_1.sorted.bam,6094023,5857386
../bwa_denovo/PM_LB_2.sorted.bam,7407578,7193697
../bwa_denovo/PM_LB_3.sorted.bam,1004005,976884
../bwa_denovo/PM_LB_4.sorted.bam,653481,612308
../bwa_denovo/PM_LB_5.sorted.bam,5390612,5270499
../bwa_denovo/PM_LB_6.sorted.bam,3164779,3067828
../bwa_denovo/PM_LB_7.sorted.bam,4834834,4731561
../bwa_denovo/PM_LB_8.sorted.bam,6403575,6210265
../bwa_denovo/PM_LB_9.sorted.bam,1791375,1742539
../bwa_denovo/PM_ME_10.sorted.bam,4506820,4433645
../bwa_denovo/PM_ME_12.sorted.bam,578784,541978
../bwa_denovo/PM_ME_13.sorted.bam,792473,764160
../bwa_denovo/PM_ME_14.sorted.bam,5354489,5273987
../bwa_denovo/PM_ME_15.sorted.bam,2960042,2915975
../bwa_denovo/PM_ME_1.sorted.bam,717342,699723
../bwa_denovo/PM_ME_3.sorted.bam,439666,418378
../bwa_denovo/PM_ME_4.sorted.bam,1625371,1595077
../bwa_denovo/PM_ME_5.sorted.bam,785069,764900
../bwa_denovo/PM_ME_6.sorted.bam,1983087,1932934
../bwa_denovo/PM_ME_7.sorted.bam,1342708,1322626
../bwa_denovo/PM_ME_8.sorted.bam,1800580,1765114
../bwa_denovo/PM_MT_10.sorted.bam,4508619,4426112
../bwa_denovo/PM_MT_11.sorted.bam,9833556,9697920
../bwa_denovo/PM_MT_12.sorted.bam,2907947,2822438
../bwa_denovo/PM_MT_13.sorted.bam,3533218,3429266
../bwa_denovo/PM_MT_14.sorted.bam,1052797,1026865
../bwa_denovo/PM_MT_15.sorted.bam,704535,671864
../bwa_denovo/PM_MT_1.sorted.bam,10640775,10387983
../bwa_denovo/PM_MT_2.sorted.bam,10401776,10264117
../bwa_denovo/PM_MT_3.sorted.bam,13889345,13734681
../bwa_denovo/PM_MT_4.sorted.bam,6791351,6585006
../bwa_denovo/PM_MT_5.sorted.bam,9371224,9217772
../bwa_denovo/PM_MT_6.sorted.bam,8569037,8361791
../bwa_denovo/PM_MT_7.sorted.bam,2945755,2900491
../bwa_denovo/PM_MT_8.sorted.bam,14223462,14091661
../bwa_denovo/PM_MT_9.sorted.bam,5281898,5188680
../bwa_denovo/PM_MV_11.sorted.bam,17501884,17433599
../bwa_denovo/PM_MV_1.sorted.bam,9280809,9240252
../bwa_denovo/PM_MV_2.sorted.bam,18504503,18421710
../bwa_denovo/PM_MV_3.sorted.bam,12622451,12576027
../bwa_denovo/PM_MV_4.sorted.bam,11373529,11331977
../bwa_denovo/PM_MV_5.sorted.bam,8035077,7978230
../bwa_denovo/PM_MV_6.sorted.bam,19624802,19519215
../bwa_denovo/PM_MV_7.sorted.bam,11909140,11861724
../bwa_denovo/PM_MV_8.sorted.bam,14696140,14623835
../bwa_denovo/PM_MV_9.sorted.bam,14308775,14236219
../bwa_denovo/PM_PP_10.sorted.bam,1727827,1600315
../bwa_denovo/PM_PP_1.sorted.bam,14473326,14392832
../bwa_denovo/PM_PP_2.sorted.bam,13870526,13786782
../bwa_denovo/PM_PP_3.sorted.bam,16704415,16616982
../bwa_denovo/PM_PP_4.sorted.bam,18472388,18307962
../bwa_denovo/PM_PP_5.sorted.bam,19251476,19071937
../bwa_denovo/PM_PP_6.sorted.bam,15065307,14993656
../bwa_denovo/PM_PP_7.sorted.bam,15422695,15313825
../bwa_denovo/PM_PP_8.sorted.bam,11212399,11130091
../bwa_denovo/PM_PP_9.sorted.bam,9416500,7492104
